USER_ID,xgboost_preProcess3_1802,xgboost_preProcess3_1430,xgboost_preProcess3_8415,xgboost_preProcess3_1336,xgboost_preProcess3_4774
1,0.249427735805511,0.316703349351883,0.289650797843933,0.24376904964447,0.289409190416336
4,0.343491166830063,0.398801892995834,0.460566759109497,0.328501552343369,0.346378266811371
5,0.820812702178955,0.821390867233276,0.828878939151764,0.769839942455292,0.789716422557831
8,0.310409128665924,0.39605650305748,0.339978337287903,0.365833163261414,0.369645744562149
9,0.3955217897892,0.362466961145401,0.4539774954319,0.398791998624802,0.399129629135132
10,0.573109567165375,0.47541218996048,0.461380183696747,0.529188394546509,0.503379344940186
11,0.216921865940094,0.180208042263985,0.167575642466545,0.197983801364899,0.232064187526703
12,0.801796495914459,0.831359505653381,0.767420291900635,0.864696264266968,0.876398980617523
13,0.619545817375183,0.538876712322235,0.506487667560577,0.525037288665771,0.497703194618225
15,0.800593078136444,0.725414514541626,0.744524419307709,0.654565930366516,0.719489812850952
16,0.523739039897919,0.530989825725555,0.45456337928772,0.524553298950195,0.604163646697998
17,0.538586020469666,0.423023700714111,0.510108828544617,0.486880481243134,0.516785562038422
18,0.450654447078705,0.451941043138504,0.329429358243942,0.403341561555862,0.33179646730423
19,0.435663402080536,0.490706950426102,0.483465492725372,0.46623820066452,0.440524250268936
20,0.491117149591446,0.47141370177269,0.536376476287842,0.540807664394379,0.49711075425148
21,0.751940667629242,0.741489708423615,0.814122915267944,0.754963517189026,0.73032134771347
22,0.110621511936188,0.140308618545532,0.165903389453888,0.154882773756981,0.145876318216324
23,0.139786317944527,0.137327745556831,0.141415819525719,0.146981209516525,0.129730924963951
24,0.159411787986755,0.0919890552759171,0.136952981352806,0.167029663920403,0.158157289028168
25,0.422443181276321,0.450276225805283,0.468119293451309,0.491463303565979,0.500242054462433
26,0.342181593179703,0.360212117433548,0.308066964149475,0.328633069992065,0.287539303302765
27,0.139190539717674,0.215434163808823,0.185108378529549,0.156805396080017,0.193917125463486
30,0.372488111257553,0.564268290996552,0.576002836227417,0.438313752412796,0.606106042861938
31,0.471773892641068,0.481027841567993,0.449515908956528,0.450638562440872,0.484564602375031
32,0.412859290838242,0.41341358423233,0.227215498685837,0.386754155158997,0.284088760614395
33,0.16325718164444,0.101862251758575,0.110425569117069,0.150833994150162,0.146919831633568
34,0.119605861604214,0.109407648444176,0.0763620659708977,0.0947227329015732,0.129038631916046
35,0.355618387460709,0.245001345872879,0.317276269197464,0.266390174627304,0.334846436977386
36,0.420458763837814,0.436986476182938,0.49676451086998,0.473210424184799,0.467819958925247
38,0.40239942073822,0.488658547401428,0.266320943832397,0.347266644239426,0.30650582909584
39,0.255033135414124,0.221212968230247,0.314326673746109,0.230677708983421,0.138672262430191
